circuit,reference_season,pirelli_event_code,pirelli_traction,pirelli_tyre_stress,pirelli_asphalt_grip,pirelli_braking,pirelli_asphalt_abrasion,pirelli_lateral,pirelli_article_url,pirelli_graphic_url,mercedes_source_year,mercedes_asset_id,mercedes_page_url,mercedes_turn_speeds_kmh,mercedes_missing_turns,notes
"Albert Park Grand Prix Circuit (Australia)",2025,AU,2,3,2,2,2,3,https://press.pirelli.com/under-starters-orders-in-melbourne-and-something-new-on-the-podium/,https://content.presspage.com/uploads/2363/81902837-2f98-49a9-a6a3-970ca66ead9e/1920_trackcharacteristics-au25-en.jpg?10000,2025,M487122,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Australian-Grand-Prix---Track-Map.xhtml?oid=193790368,"1:175;2:195;3:100;4:145;5:220;6:230;7:250;8:280;9:190;10:200;11:95;12:180;13:75;14:120",,
"Shanghai International Circuit (China)",2025,CN,3,4,3,4,3,4,https://press.pirelli.com/a-chinese-weekend-that-presents-many-challenges-as-well-as-something-new/,https://content.presspage.com/uploads/2363/05f8ceee-af69-4837-a554-12c011c4710f/1920_trackcharacteristics-cn25-en.jpg?10000,2025,M490780,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Chinese-Grand-Prix---Track-Map.xhtml?oid=193820809,"1:310;2:100;3:95;4:220;5:280;6:80;7:270;8:185;9:120;10:200;11:95;12:105;13:225;14:75;15:195;16:180",,
"Suzuka Circuit (Japan)",2025,JP,3,5,4,2,4,5,https://press.pirelli.com/to-suzuka-for-something-new-and-something-old/,https://content.presspage.com/uploads/2363/1f8c6343-f5bd-4d4c-9a63-fd36e6444ca9/1920_trackcharacteristics-jp25-en.jpg?10000,2025,M493716,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Japanese-Grand-Prix---Track-Map.xhtml?oid=193859136,"1:265;2:165;3:230;4:225;5:215;6:190;7:210;8:260;9:140;10:250;11:70;12:175;13:220;14:155;15:300;16:85;17:95;18:135",,
"Bahrain International Circuit (Bahrain)",2025,BH,4,3,3,4,5,3,https://press.pirelli.com/in-bahrain-with-prior-knowledge/,https://content.presspage.com/uploads/2363/d503c8b0-b7d6-4a43-9b54-762f880020ad/1920_trackcharacteristics-bh25-en.jpg?10000,2025,M496054,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Bahrain-Grand-Prix---Track-Map.xhtml?oid=193888442,"1:65;2:110;3:215;4:125;5:190;6:210;7:220;8:75;9:135;10:70;11:160;12:245;13:135;14:125;15:210",,
"Jeddah Corniche Circuit (Saudi Arabia)",2025,SA,2,3,4,3,2,4,https://press.pirelli.com/a-softer-approach-for-jeddah/,https://content.presspage.com/uploads/2363/80f82fe1-66d4-4537-aa55-77cdcd7bf656/1920_trackcharacteristics-bh25-en.jpg?10000,2025,M498582,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Saudi-Arabian-Grand-Prix---Track-Map.xhtml?oid=193919548,"1:110;2:90;3:175;4:165;5:175;6:240;7:255;8:250;9:220;10:225;11:250;12:265;13:155;14:240;15:275;16:180;17:190;18:240;19:280;20:285;21:300;22:180;23:200;24:250;25:275;26:315;27:110",,"Pirelli graphic URL has a bh25 filename but is the Saudi event asset linked by the article"
"Miami International Autodrome (Miami, USA)",2025,USMI,3,3,4,3,2,3,https://press.pirelli.com/a-sprint-n-soft-grand-prix-in-miami/,https://content.presspage.com/uploads/2363/1d05292c-564d-4562-95bb-73a5c522eb50/1920_trackcharacteristics-usmi25-en.jpg?10000,2025,M500981,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Miami-Grand-Prix---Track-Map.xhtml?oid=193956779,"1:95;2:110;3:165;4:250;5:205;6:225;7:150;8:130;9:285;10:300;11:90;12:105;13:145;14:95;15:95;16:70;17:65;18:120;19:240",,
"Autodromo Internazionale Enzo e Dino Ferrari (Emilia-Romagna, Italy)",2025,ITER,2,3,2,3,2,3,https://press.pirelli.com/the-c6-to-make-its-debut-in-imola/,https://content.presspage.com/uploads/2363/d7bbd003-4b32-4812-82ea-23cd919241c9/1920_trackcharacteristics-iter25-en.jpg?10000,2025,M504313,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Emilia-Romagna-Grand-Prix---Track-Map.xhtml?oid=194005113,"1:285;2:155;3:165;4:220;5:195;6:170;7:95;8:240;9:210;10:230;11:205;12:130;13:130;14:115;15:100;16:275;17:105;18:130;19:250",,
"Circuit de Monaco (Monaco)",2025,MC,5,1,2,2,1,1,https://press.pirelli.com/two-pit-stops-mandatory-in-monaco/,https://content.presspage.com/uploads/2363/d3e43488-a673-4c75-b6db-7676aa96cb63/1920_trackcharacteristics-mc25-en.jpg?10000,2024,M435222,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2024-Monaco-GP---Track-Map.xhtml?oid=191956907,"1:110;2:255;3:170;4:155;5:75;6:45;7:80;8:80;9:240;10:50;11:55;12:145;13:205;14:190;15:115;16:110;17:155;18:60;19:55",,"2024 Mercedes map carried forward because the 2025 search has no Monaco map and the layout is unchanged"
"Circuit de Barcelona-Catalunya (Spain)",2025,ES,3,5,3,3,4,5,https://press.pirelli.com/the-hardest-tyres-are-back-for-spain/,https://content.presspage.com/uploads/2363/c507c19d-b6e2-4387-9c32-fe49c33f230e/1920_trackcharacteristics-es25-en.jpg?10000,2024,M440153,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2024-Spanish-Grand-Prix---Track-Map.xhtml?oid=192055960,"1:150;2:155;3:215;4:150;5:105;6:210;7:150;8:180;9:250;10:110;11:125;12:130;13:200;14:265",,"2024 Mercedes map carried forward because the 2025 search has no Spanish map and the layout is unchanged"
"Circuit Gilles Villeneuve (Canada)",2025,CA,4,3,2,5,1,1,https://press.pirelli.com/formula-1-heads-for-montreal-with-its-overtaking-and-changeable-weather/,https://content.presspage.com/uploads/2363/72b5c427-5b93-4138-8a14-fbd9b5499863/1920_trackcharacteristics-ca25-en.jpg?10000,2025,M511842,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Canadian-Grand-Prix---Track-Map.xhtml?oid=194092621,"1:130;2:80;3:125;4:130;5:135;6:95;7:115;8:120;9:125;10:60;11:170;12:270;13:160;14:65",,
"Red Bull Ring (Austria)",2025,AT,2,3,3,3,3,3,https://press.pirelli.com/a-hot-summer-of-formula-1-gets-underway-in-austria/,https://content.presspage.com/uploads/2363/ca46822a-aadb-4aa3-9b58-3667f3e1cd6a/1920_trackcharacteristics-at25-en.jpg?10000,2025,M517282,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Austrian-Grand-Prix---Track-Map.xhtml?oid=194141581,"1:140;2:310;3:65;4:110;5:215;6:195;7:225;8:250;9:255;10:185",,
"Silverstone Circuit (Great Britain)",2025,GB,3,5,4,2,2,5,https://press.pirelli.com/formula-1-goes-back-to-the-cradle/,https://content.presspage.com/uploads/2363/d88ff28e-fb38-48e8-b13a-4494837e78bf/1920_trackcharacteristics-gb25-en.jpg?10000,2025,M519617,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-British-Grand-Prix---Track-Map.xhtml?oid=194167067,"1:245;2:280;3:105;4:85;5:165;6:135;7:105;8:200;9:255;10:270;11:255;12:225;13:195;14:225;15:195;16:90;17:95;18:145",,
"Circuit de Spa-Francorchamps (Belgium)",2025,BE,4,5,3,4,3,5,https://press.pirelli.com/sprint-with-a-jump-in-compounds-in-the-ardennes/,https://content.presspage.com/uploads/2363/eb5aa321-362a-4980-9247-52a7caf45293/1920_trackcharacteristics-be25-en.jpg?10000,2025,M524556,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Belgian-Grand-Prix---Track-Map.xhtml?oid=194218923,"1:70;2:300;3:305;4:305;5:135;6:140;7:175;8:120;9:185;10:265;11:275;12:165;13:185;14:150;15:200;16:310;17:315;18:70;19:65",,
"Hungaroring (Hungary)",2025,HU,4,3,3,3,3,3,https://press.pirelli.com/hungary-hits-40-before-the-summer-break/,https://content.presspage.com/uploads/2363/53f3f181-2cef-45ac-8165-d77fdcdc3012/1920_trackcharacteristics-hu25-en.jpg?10000,2025,M526805,https://media.mercedesamgf1.com/marsF1/en/instance/picture/ENGLISH-2025-Hungarian-Grand-Prix---Track-Map.xhtml?oid=194254137,"1:95;2:120;3:195;4:235;5:155;6:110;7:125;8:170;9:160;10:210;11:230;12:115;13:100;14:135",,
