variant,fold,event_date,event_name,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_raw,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,development,37,0.13104755437420054,1.226994749085474,6.8222961772054935,2.6119525602900016,0.6145517720142379
hgb_track_pca4,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,development,28,0.11102258459027027,1.2377627254395533,6.875475528169765,2.6221127985214068,0.5402515089372173
hgb_track_pca4_age_interactions,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,development,32,0.10610775375825428,1.2148461324192579,6.7846177731872785,2.6047298848800575,0.6397911530220881
hgb_raw,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,development,37,0.05891442167809288,1.1649661922293424,3.486143199093676,1.8671216347880701,0.48624909203499556
hgb_track_pca4,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,development,28,0.06824592387937102,1.2046249618477585,3.5766287421486074,1.8911977004397524,0.47381521004717797
hgb_track_pca4_age_interactions,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,development,32,0.051600506963427516,1.2562046286436606,3.6218388552571126,1.9031129381245646,0.4767583080101758
hgb_raw,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,development,37,0.0524985528318803,3.673786510560019,17.534509887089076,4.18742282162777,0.9106241319095716
hgb_track_pca4,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,development,28,0.03738799059393073,1.2640267816558453,6.482130682914687,2.5460028835244253,0.9805628330213949
hgb_track_pca4_age_interactions,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,development,32,0.037462150238335594,1.2717237494935463,6.510874611165435,2.5516415522493427,0.5124245829647407
hgb_raw,2022-07-10::Austrian Grand Prix,2022-07-10,Austrian Grand Prix,development,37,0.031218856703643452,1.174330864509465,1.810352816772419,1.3454935216389632,2.2536503080045804
hgb_track_pca4,2022-07-10::Austrian Grand Prix,2022-07-10,Austrian Grand Prix,development,28,0.03320653132070787,1.204327136677244,1.8661397929456571,1.3660672724817242,0.5868720330763608
hgb_track_pca4_age_interactions,2022-07-10::Austrian Grand Prix,2022-07-10,Austrian Grand Prix,development,32,0.035707295535743484,1.1890760541432426,1.8736411525953933,1.368810122915298,1.0682629760121927
hgb_raw,2022-07-24::French Grand Prix,2022-07-24,French Grand Prix,development,37,0.29780154601428827,2.9757622883283577,10.647495762055634,3.2630500704181102,0.5482407339150086
hgb_track_pca4,2022-07-24::French Grand Prix,2022-07-24,French Grand Prix,development,28,0.2548715863332511,0.8614905353560333,1.3642951661085259,1.1680304645464201,0.530049787950702
hgb_track_pca4_age_interactions,2022-07-24::French Grand Prix,2022-07-24,French Grand Prix,development,32,0.2823911914047763,0.7477494118562331,1.2971512002776175,1.1389254586133446,0.5894167670048773
hgb_raw,2022-07-31::Hungarian Grand Prix,2022-07-31,Hungarian Grand Prix,development,37,0.07596016037867674,3.298003910596647,17.152826305196594,4.141597071806551,0.5871292189694941
hgb_track_pca4,2022-07-31::Hungarian Grand Prix,2022-07-31,Hungarian Grand Prix,development,28,0.04944140398776566,3.874266180479442,21.32640649726093,4.618052240637922,0.9069429149385542
hgb_track_pca4_age_interactions,2022-07-31::Hungarian Grand Prix,2022-07-31,Hungarian Grand Prix,development,32,0.05604963330810126,3.8462225798624474,20.93864680604064,4.575876616129486,0.6230445310939103
hgb_raw,2022-08-28::Belgian Grand Prix,2022-08-28,Belgian Grand Prix,development,37,0.17139763738514976,1.301428273672299,3.913210035666191,1.978183519208011,0.5694124409928918
hgb_track_pca4,2022-08-28::Belgian Grand Prix,2022-08-28,Belgian Grand Prix,development,28,0.20408170653469948,1.349096247924229,4.177569505891911,2.0439103468332243,0.562079243012704
hgb_track_pca4_age_interactions,2022-08-28::Belgian Grand Prix,2022-08-28,Belgian Grand Prix,development,32,0.20923699606504773,1.3642713166435105,4.196646856486015,2.0485719065939607,0.9040519919944927
hgb_raw,2022-09-04::Dutch Grand Prix,2022-09-04,Dutch Grand Prix,development,37,0.06501277551138387,2.6856763137426074,16.720122882340508,4.089024685953914,2.9281343140173703
