Compound,TyreLife,LapTimeDelta,prediction
HARD,1.0,0.8606250000000006,1.9168881639248745
HARD,2.0,0.21738754325259516,2.005818048495381
HARD,3.0,0.2738945686900959,2.047576119934107
HARD,4.0,0.5114441176470587,2.0360345351988665
HARD,5.0,0.23487987987987954,2.030780598325727
HARD,6.0,0.4287302052785928,1.9965310882007372
HARD,7.0,0.13997647058823537,1.9556118677638963
HARD,8.0,0.20965014577259483,1.949581192819224
HARD,9.0,0.2127758620689652,1.9456445042552324
HARD,10.0,0.19013687150837968,1.9393034528209958
HARD,11.0,0.263911602209945,1.9253285362843078
HARD,12.0,0.3291916666666669,1.9466307068244868
HARD,13.0,0.3821198910081746,1.9336009661401665
HARD,14.0,0.326136612021858,1.918931056032302
HARD,15.0,0.28451232876712323,1.8995746436066558
HARD,16.0,0.21143401759530814,1.8833895519142951
HARD,17.0,0.17385843373493987,1.8572300553678118
HARD,18.0,0.07809810126582264,1.8368553088106452
HARD,19.0,0.08389171974522275,1.8174338963673116
HARD,20.0,0.14269360269360234,1.802031171290262
HARD,21.0,0.11805263157894745,1.788272421217739
HARD,22.0,0.11906834532374096,1.7762256308389706
HARD,23.0,0.0985708955223879,1.7572977335706783
HARD,24.0,0.16033466135458133,1.746765511741725
HARD,25.0,0.1290979591836732,1.7109562944860195
HARD,26.0,0.20311627906976745,1.7427433370736565
HARD,27.0,0.24575238095238103,1.746783788586224
HARD,28.0,0.15317948717948765,1.7210616705018882
HARD,29.0,0.10483240223463743,1.6778818216653657
HARD,30.0,0.1138312500000005,1.6870007792729709
HARD,31.0,0.02241726618704985,1.701575382198182
HARD,32.0,0.09604687499999986,1.680980933020597
HARD,33.0,0.17099115044247779,1.7056632202139446
HARD,34.0,0.1948431372549012,1.652692289838544
HARD,35.0,0.28639772727272667,1.6851493858870463
HARD,36.0,0.25693670886075914,1.6632247436346923
HARD,37.0,0.19209722222222209,1.6280039459562288
HARD,38.0,0.3595571428571424,1.6383906344674941
HARD,39.0,0.3716093749999996,1.6189872932531804
HARD,40.0,0.5820000000000005,1.6493400650326333
HARD,41.0,0.39628301886792533,1.713805951573873
HARD,42.0,0.23645652173913034,1.7619862097390069
HARD,43.0,0.5599318181818185,1.7797275031070958
HARD,44.0,0.6749210526315794,1.8633076946686977
HARD,45.0,0.6547647058823521,1.897967649716117
HARD,46.0,0.7189090909090906,1.8670961369227577
HARD,47.0,0.9449666666666673,1.8420665075396019
HARD,48.0,0.8054545454545441,1.6457987231741429
HARD,49.0,0.9207777777777777,1.8946306159091588
HARD,50.0,1.1641333333333326,1.9078902427497786
HARD,51.0,1.5024166666666676,1.9455218415828208
HARD,52.0,1.610499999999999,2.0813123032215883
HARD,53.0,1.371857142857144,1.9929711932259404
HARD,54.0,1.2618571428571443,1.9806314339485749
HARD,55.0,1.1927142857142863,1.9682916746712091
HARD,56.0,1.4426000000000017,2.10404579417402
HARD,57.0,1.7796666666666663,1.8798142328467122
HARD,58.0,2.0180000000000007,1.8798142328467122
HARD,59.0,2.221333333333334,1.8798142328467122
HARD,60.0,2.622,1.7612034143925783
HARD,61.0,2.510000000000005,1.7612034143925783
HARD,62.0,2.6854999999999976,1.7612034143925783
HARD,63.0,2.6980000000000004,1.7612034143925783
HARD,64.0,2.033999999999999,1.7612034143925783
HARD,65.0,1.6529999999999987,1.7612034143925783
HARD,66.0,0.683499999999995,1.7612034143925783
HARD,67.0,-0.241500000000002,1.7612034143925783
HARD,68.0,0.6754999999999995,1.7612034143925783
HARD,69.0,0.0460000000000064,1.6272467364223788
HARD,70.0,-0.3930000000000007,1.6272467364223788
HARD,71.0,-0.6800000000000068,1.6272467364223788
INTERMEDIATE,2.0,12.4178,8.821319842334708
INTERMEDIATE,4.0,11.416350000000001,9.352976842334707
INTERMEDIATE,5.0,11.575521739130433,9.29518803798688
INTERMEDIATE,6.0,11.02066,9.246645442334707
INTERMEDIATE,7.0,10.930941176470588,9.248730371746472
INTERMEDIATE,8.0,12.410599999999999,9.199387042334708
INTERMEDIATE,9.0,12.223113924050633,9.195947348663822
INTERMEDIATE,10.0,12.077106666666667,9.187572442334707
INTERMEDIATE,11.0,11.442754098360654,9.193189219383887
INTERMEDIATE,12.0,11.314390243902439,9.180080256968854
INTERMEDIATE,13.0,11.348153846153846,9.155404791052657
INTERMEDIATE,14.0,11.8945625,9.333709654834706
INTERMEDIATE,15.0,11.691,9.333709654834706
INTERMEDIATE,16.0,11.664687499999998,9.325286373584706
INTERMEDIATE,17.0,11.744874999999999,9.325286373584706
INTERMEDIATE,18.0,11.786375,9.325286373584706
INTERMEDIATE,19.0,11.6759375,9.306019186084708
INTERMEDIATE,20.0,11.51825,9.151881686084707
INTERMEDIATE,21.0,11.245806451612903,9.094423616528257
INTERMEDIATE,22.0,11.24275,9.047122467334708
INTERMEDIATE,23.0,11.13515625,8.979736217334708
INTERMEDIATE,24.0,10.742903225806451,8.961499906850838
INTERMEDIATE,25.0,10.314967741935483,8.952804906850837
INTERMEDIATE,26.0,9.830433333333334,8.969002342334708
INTERMEDIATE,27.0,9.609724137931034,8.986316842334707
INTERMEDIATE,28.0,8.899304347826085,9.044769885812968
INTERMEDIATE,29.0,8.687263157894737,9.119793947597865
INTERMEDIATE,30.0,8.062333333333333,9.156066842334708
INTERMEDIATE,31.0,7.67275,9.186834029834706
INTERMEDIATE,32.0,7.515384615384614,9.284815688488553
INTERMEDIATE,33.0,5.860500000000002,9.352976842334707
MEDIUM,1.0,0.06483333333333263,1.7113047241487251
MEDIUM,2.0,0.7203309178743962,1.897299188062573
MEDIUM,3.0,0.81626902173913,1.9423757263106534
MEDIUM,4.0,0.9229740259740258,1.927410796191346
MEDIUM,5.0,0.8452263374485597,1.9462263385790035
MEDIUM,6.0,0.894823779193206,1.9087054729733177
MEDIUM,7.0,0.455809330628803,1.8841755106171856
MEDIUM,8.0,0.25208522727272736,1.8887249231717633
MEDIUM,9.0,0.4394607142857143,1.9102017219389502
MEDIUM,10.0,0.29218321917808243,1.9296427674908365
MEDIUM,11.0,0.2861391999999999,1.9373919781270774
MEDIUM,12.0,0.3676644736842109,1.9574054424403038
MEDIUM,13.0,0.3823643790849674,1.948189185134932
MEDIUM,14.0,0.38199512987012985,1.9318098135030843
MEDIUM,15.0,0.3847319932998325,1.9236469400954193
MEDIUM,16.0,0.4506587155963301,1.9069002309185488
MEDIUM,17.0,0.355568932038835,1.8956294618770184
MEDIUM,18.0,0.40704356846473033,1.8936467271770727
MEDIUM,19.0,0.4390969976905312,1.8838010681227697
MEDIUM,20.0,0.39912690355329966,1.8566460741070265
MEDIUM,21.0,0.411325714285714,1.8546147376279165
MEDIUM,22.0,0.3353908794788274,1.8121633645363802
MEDIUM,23.0,0.2273269230769231,1.7679448871955363
MEDIUM,24.0,0.21395670995671043,1.7596496872162197
MEDIUM,25.0,0.27241899441340856,1.752423699618934
MEDIUM,26.0,0.22744520547945152,1.7796046224475643
MEDIUM,27.0,0.12947619047619063,1.7565711904941688
MEDIUM,28.0,0.08973504273504247,1.7605174314380936
MEDIUM,29.0,0.03315384615384623,1.7389022627605684
MEDIUM,30.0,-0.17918823529411793,1.6827041571734827
MEDIUM,31.0,-0.38161333333333325,1.6686796609412824
MEDIUM,32.0,-0.37395588235294164,1.6427137824891276
MEDIUM,33.0,0.012374999999999558,1.6512232056066949
MEDIUM,34.0,0.36785714285714327,1.6234535735155902
MEDIUM,35.0,0.1819473684210523,1.6441336878271016
MEDIUM,36.0,0.20061290322580394,1.6682367397718283
MEDIUM,37.0,0.10831999999999878,1.645091923178417
