feature,pearson,spearman
IsWet,0.5565934857095303,0.31698277263769875
NormalizedLap,-0.18660994887141663,-0.25150100837997363
LapNumber,-0.16209139065804837,-0.25029809220226984
FuelLoad,0.12761837168013782,0.24600566024512655
LapsRemaining,0.1924004296863604,0.23326720827388875
Rainfall,0.3509465393763609,0.18828506404821346
Stint,-0.08048366132290695,-0.14188000283435373
hard_age_interaction,-0.15156409932510576,-0.13278189288093034
tire_age_x_lateral_load,-0.12263118655442351,-0.09276876962717678
TrackTemp,-0.1703519376409862,-0.0808104782560848
Humidity,0.18594903588664724,0.07737727032341182
track_temp_x_tyre_stress,-0.14014828270815216,-0.06995503269130751
asphalt_grip,-0.0795525132449004,-0.06988629011142634
tire_age_x_abrasiveness,-0.07220722815942153,-0.0694021907828426
traction,0.10129602902504685,0.06560843278436292
lateral_load,-0.10879718659705521,-0.049801129434632475
TyreLifeSquared,-0.07269229227150792,-0.046666197887448906
TyreLife,-0.083371518691024,-0.046666197887448906
TyreLifeKM,-0.10665607685194158,-0.04572849276767959
soft_age_interaction,-0.03229276758630039,-0.04205461401270531
soft_traction_interaction,-0.008693144177991007,-0.04137664037473843
TireAgeRatio,-0.09990413763663415,-0.04097244244790869
soft_abrasiveness_interaction,-0.01235357107217075,-0.03906473288701556
braking_severity,0.02424804085763447,-0.01949540830919021
tire_age_x_traction,-0.017828509808830866,-0.01780518804193775
abrasiveness,-0.05192295347139964,-0.014675003626686346
medium_age_interaction,-0.08020337602703513,-0.010908377641897385
WindSpeed,-0.058850034053497265,-0.010500038671141168
tyre_stress,-0.08655261999586225,0.0074841873676049055
AirTemp,-0.04925732898815657,0.004303794740824635
FuelLoadMissing,0.047270532213875685,0.003416037296391685
corner_speed_energy,-0.12339324935148765,0.0018476485699063978
