variant,fold,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_raw,2022-06-12::Azerbaijan Grand Prix,development,37,0.13104755437420054,1.226994749085474,6.8222961772054935,2.6119525602900016,0.5868503019446507
hgb_track_pca4,2022-06-12::Azerbaijan Grand Prix,development,28,0.11102258459027027,1.2377627254395533,6.875475528169765,2.6221127985214068,0.4466296499595046
hgb_raw,2022-06-19::Canadian Grand Prix,development,37,0.05891442167809288,1.1649661922293424,3.486143199093676,1.8671216347880701,0.4378197540063411
hgb_track_pca4,2022-06-19::Canadian Grand Prix,development,28,0.06824592387937102,1.2046249618477585,3.5766287421486074,1.8911977004397524,0.946580282994546
hgb_raw,2022-07-03::British Grand Prix,development,37,0.0524985528318803,3.673786510560019,17.534509887089076,4.18742282162777,0.540279982960783
hgb_track_pca4,2022-07-03::British Grand Prix,development,28,0.03738799059393073,1.2640267816558453,6.482130682914687,2.5460028835244253,0.4719122600508854
hgb_raw,2022-07-10::Austrian Grand Prix,development,37,0.031218856703643452,1.174330864509465,1.810352816772419,1.3454935216389632,0.48045660194475204
hgb_track_pca4,2022-07-10::Austrian Grand Prix,development,28,0.03320653132070787,1.204327136677244,1.8661397929456571,1.3660672724817242,0.5403007880086079
hgb_raw,2022-07-24::French Grand Prix,development,37,0.29780154601428827,2.9757622883283577,10.647495762055634,3.2630500704181102,0.5623611459741369
hgb_track_pca4,2022-07-24::French Grand Prix,development,28,0.2548715863332511,0.8614905353560333,1.3642951661085259,1.1680304645464201,0.5582146910019219
hgb_raw,2022-07-31::Hungarian Grand Prix,development,37,0.07596016037867674,3.298003910596647,17.152826305196594,4.141597071806551,0.5174718589987606
hgb_track_pca4,2022-07-31::Hungarian Grand Prix,development,28,0.04944140398776566,3.874266180479442,21.32640649726093,4.618052240637922,0.5644129469292238
hgb_raw,2022-08-28::Belgian Grand Prix,development,37,0.17139763738514976,1.301428273672299,3.913210035666191,1.978183519208011,0.5356079509947449
hgb_track_pca4,2022-08-28::Belgian Grand Prix,development,28,0.20408170653469948,1.349096247924229,4.177569505891911,2.0439103468332243,0.5494686280144379
hgb_raw,2022-09-04::Dutch Grand Prix,development,37,0.06501277551138387,2.6856763137426074,16.720122882340508,4.089024685953914,0.5958208610536531
hgb_track_pca4,2022-09-04::Dutch Grand Prix,development,28,0.14440558791545974,3.840536503820056,30.831344850569394,5.552598027101313,0.5835948729654774
hgb_raw,2022-09-11::Italian Grand Prix,development,37,0.03267296278535197,1.0812181037631592,2.116745416337176,1.4549039199676301,0.6653853229945526
hgb_track_pca4,2022-09-11::Italian Grand Prix,development,28,0.032248187411927275,0.9526089105507832,1.9069442000577685,1.3809215039450173,0.5887003130046651
hgb_raw,2022-10-02::Singapore Grand Prix,development,37,0.06836198795592209,13.836618818419677,201.22140803818525,14.185253189075803,1.6062679949682206
hgb_track_pca4,2022-10-02::Singapore Grand Prix,development,28,0.058250060015354405,14.918100371963018,237.70065555670564,15.417543758871114,0.9913362610386685
hgb_raw,2022-10-09::Japanese Grand Prix,development,37,0.11330576657653274,11.351769318132016,143.2992295148093,11.970765619408363,0.7123827460454777
hgb_track_pca4,2022-10-09::Japanese Grand Prix,development,28,0.19346095993047877,9.091586113998524,98.48861181107094,9.92414287538581,0.6503471340984106
hgb_raw,2022-10-23::United States Grand Prix,development,37,0.07657350693912796,1.8008638014253764,4.155688042382543,2.038550475799543,0.6341382999671623
hgb_track_pca4,2022-10-23::United States Grand Prix,development,28,0.08947909153844492,1.6426738161889531,3.547257890645802,1.8834165473006237,0.6431872129905969
hgb_raw,2022-10-30::Mexico City Grand Prix,development,37,0.05155634346121559,7.385848750502046,58.17844100804452,7.627479335143723,0.7876084611052647
hgb_track_pca4,2022-10-30::Mexico City Grand Prix,development,28,0.00337697467375696,1.579927104371981,4.677135682347603,2.162668648301816,0.657146486104466
hgb_raw,2022-11-13::São Paulo Grand Prix,development,37,0.049963904596935595,1.1806677148221736,2.9299420937763285,1.7117073621902572,1.2197830480290577
hgb_track_pca4,2022-11-13::São Paulo Grand Prix,development,28,0.06272540129228833,1.1205927400298836,1.7916117083878105,1.3385110042087105,1.1190862680086866
hgb_raw,2022-11-20::Abu Dhabi Grand Prix,development,37,0.1000596386050943,1.47431256581396,3.991084263199433,1.9977698223768006,0.997994703007862
hgb_track_pca4,2022-11-20::Abu Dhabi Grand Prix,development,28,0.11647080300500438,2.1601115109160913,6.641862875872359,2.577181188017707,1.640112682012841
hgb_raw,2023-03-05::Bahrain Grand Prix,development,37,0.14659310510020032,1.3202608197373693,2.573724456445329,1.6042831596838911,1.0132843559840694
hgb_track_pca4,2023-03-05::Bahrain Grand Prix,development,28,0.19854421913066522,3.4689479275603867,15.300930277178322,3.9116403563183466,0.885397006990388
hgb_raw,2023-03-19::Saudi Arabian Grand Prix,development,37,0.05292167267739778,0.9970244143799506,2.8419106401775953,1.6857967375035448,0.8254703109851107
hgb_track_pca4,2023-03-19::Saudi Arabian Grand Prix,development,28,0.04967898896812048,0.9898894490224547,2.8213106101988843,1.6796757455529576,0.808915231958963
hgb_raw,2023-04-02::Australian Grand Prix,development,37,0.5736070946177182,2.448864593549981,18.99677710848535,4.358529236851044,0.8164455950027332
hgb_track_pca4,2023-04-02::Australian Grand Prix,development,28,0.5800077658592375,2.4765783079945316,19.463719377540645,4.41177054905858,0.7956125630298629
hgb_raw,2023-04-30::Azerbaijan Grand Prix,development,37,0.11416381643665412,1.872751885779667,4.440340924607622,2.1072116468469946,0.8988046220038086
hgb_track_pca4,2023-04-30::Azerbaijan Grand Prix,development,28,0.12135129762901893,2.0248541706283922,5.012126828146649,2.2387779765190317,0.8242303089937195
hgb_raw,2023-05-07::Miami Grand Prix,development,37,0.06263866213314583,2.233674965130077,23.75974055363656,4.874396429675839,0.8484906109515578
hgb_track_pca4,2023-05-07::Miami Grand Prix,development,28,0.06625522987745285,2.2103260979871884,23.597209901822794,4.857695945798048,0.8214697730727494
hgb_raw,2023-05-28::Monaco Grand Prix,development,37,0.27989619020467893,6.4273757647256895,77.38672608044108,8.796972551988615,0.9322646879591048
hgb_track_pca4,2023-05-28::Monaco Grand Prix,development,28,0.2474275679124668,4.274848469061881,59.20481085139735,7.694466248635921,0.880161946057342
hgb_raw,2023-06-04::Spanish Grand Prix,development,37,0.011574611811880195,5.069108137217297,27.209799683338662,5.216301341308673,1.12906699499581
hgb_track_pca4,2023-06-04::Spanish Grand Prix,development,28,0.014032467076987264,3.0269672680724313,10.590474170354192,3.254300872745818,0.99749737593811
