,TyreLife,TyreLifeKM,TyreLifeSquared,TireAgeRatio,LapNumber,NormalizedLap,LapsRemaining,FuelLoad,Stint,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsWet,FuelLoadMissing,traction,tyre_stress,asphalt_grip,corner_speed_energy,abrasiveness,braking_severity,lateral_load,tire_age_x_abrasiveness,track_temp_x_tyre_stress,tire_age_x_traction,tire_age_x_lateral_load,soft_abrasiveness_interaction,soft_traction_interaction,soft_age_interaction,medium_age_interaction,hard_age_interaction
TyreLife,1.0,0.9473269669963202,0.9228040532314089,0.9629008309968871,0.5346324324602224,0.5045094567291974,-0.43748704868482,-0.30315879794994005,-0.005771164342582938,-0.013457284032702578,0.01868382519631846,0.028868393679308282,-0.04715808676959484,-0.014884414107313863,-0.024149771240874945,-0.17193990873384996,0.04893669989543881,-0.18847965675546746,-0.09910095505487745,-0.1274148636136107,-0.17590437016472787,-0.07112855264267581,-0.154841059239579,0.4706601834531426,-0.17380226892621423,0.8198484249494121,0.5098130747618574,-0.12454256448346403,-0.1411181726883056,0.01638296158396333,0.2616810687981167,0.6426821304589317
TyreLifeKM,0.9473269669963202,1.0,0.8318288341361394,0.996890313470853,0.4923146863414001,0.5340896335734018,-0.5211002290079221,-0.3212016313752399,-0.016447901033069773,0.010395765570295338,-0.020630225529448192,0.021992498438803174,-0.062483910573257556,0.0010432944405102383,-0.05369920095222582,-0.1774094890950154,-0.009843790885842653,-0.06326369152534027,-0.007496353065597159,0.02095395714504642,-0.13198163011161196,-0.01776848544362934,-0.05106980595880283,0.5138229735855216,-0.07157396533820111,0.7129395202632678,0.6077033392319328,-0.1298318208165172,-0.15594437154899224,-0.00901647712901298,0.22721338223390813,0.6455175536864041
TyreLifeSquared,0.9228040532314089,0.8318288341361394,1.0,0.8619029593418236,0.47212778613636547,0.43128829110986955,-0.37525364774896497,-0.25062449185591784,-0.03250816413216002,-0.03120097206714696,0.023559972360010676,0.03423346623480764,-0.044791102202415,-0.02527119706457863,-0.02964965719691154,-0.15223797216959534,0.08514829630054799,-0.2124868180193905,-0.12242246701401063,-0.143394109010671,-0.19326774445845799,-0.09142911896929638,-0.1770095689570289,0.3150213821804515,-0.19878837666457858,0.8255674192096557,0.3565437564162398,-0.11642704358824005,-0.12886906044052016,-0.02767881052354705,0.20456480530587665,0.6474912003960644
TireAgeRatio,0.9629008309968871,0.996890313470853,0.8619029593418236,1.0,0.4969702788914532,0.5299683456750789,-0.5106700179733685,-0.31822105348789825,-0.016516171887977375,0.007063530158838904,-0.013530912033159266,0.024718446601652917,-0.060441154779138986,-0.010040881556388421,-0.05099904706114174,-0.17607232463416086,0.019721857595077955,-0.09538279119662095,-0.026033535215455195,-0.002894939004647192,-0.15341248920270287,-0.03728746532100851,-0.07674144575955016,0.4874285853276767,-0.10005071038035046,0.753589235318255,0.5786164757021335,-0.13319143130409658,-0.15647888817424804,-0.012356828530359541,0.23288264500981762,0.6556015123561887
LapNumber,0.5346324324602224,0.4923146863414001,0.47212778613636547,0.4969702788914532,1.0,0.9638879934397352,-0.8782674286784261,-0.5463613791684776,0.5005014887233519,-0.028350511872331435,-0.04511060656678289,0.04886335895266564,-0.036032712099810044,0.019286380794112722,-0.03745310642441379,-0.2732840425742589,0.03736216797978708,-0.060615082521196996,-0.07288346397368743,-0.1326248857007785,-0.00597301856885249,-0.01407005873770665,-0.0576735412008831,0.3448548103260676,-0.06594189420324321,0.42928653265952227,0.3018975040429929,-0.037435902286292934,-0.04118199186965438,0.04056188235513348,0.007507705972084623,0.4312826500803804
NormalizedLap,0.5045094567291974,0.5340896335734018,0.43128829110986955,0.5299683456750789,0.9638879934397352,1.0,-0.9546192523414474,-0.5675218660569434,0.4940528804659583,-0.012601521544975956,-0.07499183777776205,0.0387981785618445,-0.053668467256169215,0.018439644106906197,-0.07122471990709299,-0.2797258620164975,0.01781896493643233,0.031079731559780784,-0.00542935138696864,-0.009525206118521038,0.022095022418730063,0.014025352094717622,0.022328573280910573,0.35707510627709177,0.004969777950815373,0.38323564023239437,0.35477221304804396,-0.042761631995675994,-0.05218954366974501,0.016672946243298625,-0.022708826931927616,0.45088540894205215
LapsRemaining,-0.43748704868482,-0.5211002290079221,-0.37525364774896497,-0.5106700179733685,-0.8782674286784261,-0.9546192523414474,1.0,0.5322406564468171,-0.45760542112587466,9.274112660625922e-05,0.11967824908684765,-0.03552421939489461,0.07977155185350165,-0.03161335483994866,0.10475908922707416,0.2714438390377952,0.006245684129919869,-0.13871456762743034,-0.07514094602291846,-0.12030542107769741,-0.057719634074796834,-0.04812746398228401,-0.11587720223478652,-0.33763577311353477,-0.08558461566807635,-0.31896361687620384,-0.3680149364183356,0.04445670831848636,0.07453396014515658,0.01747118958476819,0.032361247299334775,-0.4231720866488196
FuelLoad,-0.30315879794994005,-0.3212016313752399,-0.25062449185591784,-0.31822105348789825,-0.5463613791684776,-0.5675218660569434,0.5322406564468171,1.0,-0.5867471035397039,0.0349406017516059,0.12323222872204488,-0.006709792068917692,0.02471585333956097,0.0552523360316878,0.058714079862803914,-0.5541651217507283,0.010489417364364382,-0.00024856687431104563,0.03934886012461206,-0.004199415104464399,0.017444712333236547,0.01458348899804312,0.010684340979723629,-0.2258145697760906,0.05267127841164141,-0.21308088379870213,-0.2263568674253103,-0.05505078163522953,-0.11702693327336747,-0.13278793013867554,-0.04482695901582414,-0.17575867147662338
Stint,-0.005771164342582938,-0.016447901033069773,-0.03250816413216002,-0.016516171887977375,0.5005014887233519,0.4940528804659583,-0.45760542112587466,-0.5867471035397039,1.0,-0.0861730097260875,-0.09278803695800583,0.03140889501866573,-0.0046697938758399,-0.04948441565989556,-0.050584723539933485,0.3229084694594196,-0.02780874712249576,0.1009851603165522,0.022488913048843307,0.026677515071011335,0.1246471598849099,-0.06241664931255878,0.09204784250637456,0.10055831723763092,0.052436993710932384,-0.01988022571384347,0.06171143752196183,0.1354418284907864,0.14842286250003148,0.13581084559868295,-0.08495496778040704,0.010098355438050745
AirTemp,-0.013457284032702578,0.010395765570295338,-0.03120097206714696,0.007063530158838904,-0.028350511872331435,-0.012601521544975956,9.274112660625922e-05,0.0349406017516059,-0.0861730097260875,1.0,0.7118732570326198,-0.4259267809159654,-0.19221836579216267,0.009672941417278565,-0.25710693649404803,-0.032723495258250766,0.19551623444040928,-0.16388245138572893,0.2476835445767232,-0.09857892170553391,0.09013762642202666,0.11886772723379099,-0.025242907967980704,0.07792563283396547,0.25013038921389186,0.06507603051557335,-0.02026664603167566,-0.057837600383589774,-0.0671323538328268,-0.08147657217601649,0.02226637782390203,0.06575920326205681
