feature_a,feature_b,correlation,absolute_correlation
TyreLife,TyreLifeSquared,1.0,1.0
TyreLifeKM,TireAgeRatio,0.9986275487850397,0.9986275487850397
soft_traction_interaction,soft_age_interaction,0.9901394248672708,0.9901394248672708
LapNumber,NormalizedLap,0.9768497519135931,0.9768497519135931
TyreLifeSquared,TireAgeRatio,0.9751494450786153,0.9751494450786153
TyreLife,TireAgeRatio,0.9751494450786153,0.9751494450786153
TyreLife,TyreLifeKM,0.9692126354145435,0.9692126354145435
TyreLifeKM,TyreLifeSquared,0.9692126354145435,0.9692126354145435
soft_abrasiveness_interaction,soft_age_interaction,0.9581255068119757,0.9581255068119757
soft_abrasiveness_interaction,soft_traction_interaction,0.9511053692560908,0.9511053692560908
NormalizedLap,LapsRemaining,-0.9490114677848933,0.9490114677848933
LapNumber,LapsRemaining,-0.87824394087647,0.87824394087647
tire_age_x_abrasiveness,tire_age_x_lateral_load,0.8384233570914218,0.8384233570914218
TyreLife,tire_age_x_traction,0.8349913149051512,0.8349913149051512
TyreLifeSquared,tire_age_x_traction,0.8349913149051512,0.8349913149051512
tyre_stress,lateral_load,0.8180946511947537,0.8180946511947537
TireAgeRatio,tire_age_x_traction,0.8127689764482641,0.8127689764482641
tyre_stress,track_temp_x_tyre_stress,0.8073334559024411,0.8073334559024411
TyreLifeKM,tire_age_x_traction,0.7996490827017234,0.7996490827017234
Rainfall,IsWet,0.7613740780732492,0.7613740780732492
lateral_load,track_temp_x_tyre_stress,0.701287837946186,0.701287837946186
asphalt_grip,lateral_load,0.6897283505296743,0.6897283505296743
AirTemp,TrackTemp,0.686926225428238,0.686926225428238
abrasiveness,tire_age_x_abrasiveness,0.67836568207128,0.67836568207128
lateral_load,tire_age_x_lateral_load,0.6752235605027004,0.6752235605027004
corner_speed_energy,lateral_load,0.6387657548997032,0.6387657548997032
FuelLoad,FuelLoadMissing,-0.6115723272028918,0.6115723272028918
medium_age_interaction,hard_age_interaction,-0.5997370044614517,0.5997370044614517
TyreLifeKM,tire_age_x_lateral_load,0.5990291900948904,0.5990291900948904
FuelLoad,Stint,-0.5944610741348625,0.5944610741348625
LapNumber,Stint,0.5943248569183017,0.5943248569183017
NormalizedLap,Stint,0.5925812568233672,0.5925812568233672
abrasiveness,lateral_load,0.5860706120697013,0.5860706120697013
TireAgeRatio,tire_age_x_lateral_load,0.5808479106881294,0.5808479106881294
TyreLifeKM,tire_age_x_abrasiveness,0.5605169840979412,0.5605169840979412
tyre_stress,corner_speed_energy,0.5556814313226958,0.5556814313226958
TyreLife,tire_age_x_lateral_load,0.5464497447716512,0.5464497447716512
TyreLifeSquared,tire_age_x_lateral_load,0.5464497447716512,0.5464497447716512
TireAgeRatio,tire_age_x_abrasiveness,0.5428631948081771,0.5428631948081771
TyreLifeSquared,tire_age_x_abrasiveness,0.5391457071215694,0.5391457071215694
TyreLife,tire_age_x_abrasiveness,0.5391457071215694,0.5391457071215694
LapsRemaining,Stint,-0.5363989255478607,0.5363989255478607
TyreLife,LapNumber,0.5303823945710615,0.5303823945710615
TyreLifeSquared,LapNumber,0.5303823945710615,0.5303823945710615
traction,corner_speed_energy,-0.5293967235832032,0.5293967235832032
TyreLifeKM,NormalizedLap,0.5277074798737765,0.5277074798737765
