variant,split,fold,event_date,event_name,n_features,n_rows,n_train_rows,n_train_events,n_events,runtime_seconds,mae,mse,rmse,degradation_slope_error
no_circuit,development,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,24,886,7704,7,1,1.040915988000009,1.277225845262938,6.981153792844239,2.6421873122177084,0.13193663827207458
raw_circuit_7,development,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,31,886,7704,7,1,1.083908675999993,1.1174509683755096,6.676508992845499,2.583894152794479,0.13984726205130968
raw_circuit_age_interactions,development,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,37,886,7704,7,1,1.1597523289999998,1.2051076194069148,6.906684297702687,2.6280571336450596,0.15982771593444137
pca4_no_age_interactions,development,2022-06-12::Azerbaijan Grand Prix,2022-06-12,Azerbaijan Grand Prix,28,886,7704,7,1,1.0680738030000043,1.0149547781679307,6.541988543099312,2.5577311319017313,0.13544912127696
no_circuit,development,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,24,1327,8590,8,1,1.0978838110000027,3.137509783078247,13.279934674146325,3.6441644685917134,0.044530351547272334
raw_circuit_7,development,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,31,1327,8590,8,1,1.1485038120000013,1.3570683461137423,4.411005535848027,2.100239399651389,0.04067575605259336
raw_circuit_age_interactions,development,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,37,1327,8590,8,1,1.1843168739999896,1.2481839875394098,4.007324196387982,2.0018302116782984,0.033166415738391235
pca4_no_age_interactions,development,2022-06-19::Canadian Grand Prix,2022-06-19,Canadian Grand Prix,28,1327,8590,8,1,1.124686595,1.3793324448427542,4.439530390423637,2.1070193142028,0.03116422887544344
no_circuit,development,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,24,867,9917,9,1,1.1822550669999998,1.236876429547742,6.692305869331299,2.5869491431667724,0.027869556257738348
raw_circuit_7,development,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,31,867,9917,9,1,1.222922765000007,3.579022840996566,16.333621815294773,4.041487574556523,0.061613242700400105
raw_circuit_age_interactions,development,2022-07-03::British Grand Prix,2022-07-03,British Grand Prix,37,867,9917,9,1,1.2758347469999904,2.560396370183442,10.61954396309661,3.25876417727589,0.09466198602024722
