variant,split,mae,mse,rmse,event_mae_median,event_mae_iqr,degradation_slope_error,event_count,feature_count,row_count
no_air_temperature,ablation_development,2.2500894040070576,13.915877333516427,3.0373329030304888,1.6110157962847398,1.1198666594123214,0.11901464109685223,61,27,70323
no_circuit,development,2.008537662834075,11.7388582990721,2.813251601589473,1.4635810677210344,1.0983525378574475,0.11902934215928339,61,24,70323
no_circuit,frozen_2025,2.0322291879591385,9.44614316758293,2.6837509542728744,1.7573842694504025,1.2584555298174926,0.08619601500001789,24,24,26830
no_compound,ablation_development,2.3405271168489072,15.144716883545513,3.178365176017739,1.5830999177761351,1.353249350573119,0.1271718433265956,61,24,70323
no_constructor,ablation_development,2.1417612459700797,12.8405558524739,2.9502275537693463,1.5681154944199096,1.3760851356337491,0.12344638255174491,61,27,70323
no_driver,ablation_development,2.181498869566345,13.222769054807292,2.981199723472433,1.5820218744398842,1.3129400387953118,0.11913749290642317,61,27,70323
no_fuel_race_progress,ablation_development,2.204146465395861,12.551559475661797,3.0531837489454428,1.7289045540615267,1.288135620012106,0.11505880821166692,61,22,70323
no_tire_age,ablation_development,2.1893103471878255,13.185428294477484,3.00152623466915,1.639831550072963,1.3653757732863587,0.13315060959614247,61,21,70323
no_track_temperature,ablation_development,2.1378248147195418,13.066351273007577,2.9344754663752353,1.5638726386579873,1.2156897036478476,0.12228742580438523,61,27,70323
pca4_no_age_interactions,development,2.12472591828123,12.547406795849827,2.9148789565019455,1.540623069522282,1.0963033504269557,0.12255839343646364,61,28,70323
pca4_no_age_interactions,frozen_2025,2.0337223212978834,10.109908638999304,2.680429291646498,1.5310584207395275,1.6142870162807874,0.08773545986717422,24,28,26830
pca4_pruned,conditional_development,2.138943217220624,12.898662370740057,2.94653733898078,1.5143767858589854,1.3083116913067185,0.12247099380581225,61,26,70323
pca4_pruned,conditional_frozen_2025,1.9663771775382586,9.430186956006162,2.616403728045032,1.4893833001939503,1.456055001093422,0.08480895310959213,24,26,26830
raw_circuit_7,development,2.302939995051913,14.687748003585822,3.0589885272480344,1.5090989935405774,1.5298167922747032,0.11325324996699701,61,31,70323
raw_circuit_7,frozen_2025,2.067261055865567,9.872844552803302,2.7138742631522947,1.731669825965512,1.6313403761595278,0.08705437591085347,24,31,26830
raw_circuit_age_interactions,development,2.3325265484753275,14.740360280532586,3.0910795737963013,1.9250556738610454,1.2826012567499332,0.11141420268464625,61,37,70323
raw_circuit_age_interactions,frozen_2025,2.0710116621513284,9.555224406259846,2.703112683179351,1.7901903849039846,1.6495212040701972,0.088359142951856,24,37,26830
