comparison,baseline,candidate,event_count,mean_difference,median_difference,proportion_events_improved,bootstrap_95ci_lower,bootstrap_95ci_upper
no_circuit_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_circuit,61,-0.11618825544715441,0.0024122807349526987,0.4918032786885246,-0.35731065336639406,0.08978482829323087
raw_circuit_7_minus_pca4_no_age_interactions,pca4_no_age_interactions,raw_circuit_7,61,0.17821407677068377,-0.0075257313442747,0.5081967213114754,-0.08622270598519509,0.48685934624820704
raw_circuit_age_interactions_minus_pca4_no_age_interactions,pca4_no_age_interactions,raw_circuit_age_interactions,61,0.20780063019409778,-0.005332358102328794,0.5245901639344263,-0.11747443656460965,0.6228724060773972
no_driver_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_driver,61,0.056772951285115225,0.026546865538480846,0.4098360655737705,-0.03042762984020872,0.15027363946829414
no_constructor_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_constructor,61,0.017035327688849904,0.011767035451623054,0.4918032786885246,-0.0818542017036914,0.11025190214295552
no_air_temperature_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_air_temperature,61,0.1253634857258277,0.026182987385440004,0.36065573770491804,-0.08022605808279284,0.34345323062141964
no_track_temperature_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_track_temperature,61,0.013098896438311854,0.007524179689700761,0.47540983606557374,-0.10301105846100922,0.12534767961817378
no_fuel_race_progress_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_fuel_race_progress,61,0.079420547114631,0.16256118449129686,0.3442622950819672,-0.1124415895869286,0.25152634527080375
no_tire_age_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_tire_age,61,0.06458442890659588,0.0018762569996084721,0.4918032786885246,-0.025091827962077127,0.17571474433508988
no_compound_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_compound,61,0.2158011985676777,0.05986198405911569,0.32786885245901637,0.08681050240060817,0.3777117946817691
pca4_pruned_minus_pca4_no_age_interactions,pca4_no_age_interactions,pca4_pruned,61,0.01421729893939403,-0.008561590053923984,0.5573770491803278,-0.09565351673596321,0.12154001949240416
