season,session,input_rows,pit_in_out_removed,short_stint_removed,robust_outlier_removed,final_rows
2022,FP2,543,0,33,79,249
2022,R,1117,0,0,1,1015
2022,FP2,469,0,28,46,211
2022,R,1045,0,0,2,792
2022,FP2,676,0,24,11,472
2022,R,1324,0,0,3,816
2022,S,436,0,0,1,381
2022,FP2,472,0,40,38,155
2022,R,891,0,1,2,731
2022,FP2,475,0,32,65,219
2022,R,1125,0,1,0,857
2022,FP2,374,0,50,25,96
2022,R,792,0,0,0,629
2022,FP2,471,0,25,75,230
2022,R,815,0,2,15,637
2022,FP2,599,0,15,97,328
2022,R,1264,0,0,6,999
2022,FP2,480,0,0,56,226
2022,R,1392,0,0,2,1047
2022,FP2,570,0,16,19,390
2022,R,1132,0,3,48,913
2022,S,400,0,0,0,323
2022,FP2,464,0,41,51,180
2022,R,958,0,1,1,788
2022,FP2,557,0,40,83,244
2022,R,1383,0,3,13,1118
2022,FP2,507,0,42,69,187
2022,R,971,0,2,4,744
2022,FP2,345,0,60,12,111
2022,R,507,0,14,7,349
2022,FP2,599,0,1,6,22
2022,R,1379,0,1,3,1274
2022,FP2,357,0,22,31,124
2022,R,1057,0,1,1,803
2022,FP2,579,0,23,33,292
2022,R,1179,0,20,33,695
2022,FP2,478,0,18,67,205
2022,R,820,0,0,0,598
2022,FP2,410,0,38,25,129
2022,R,945,0,2,15,600
2022,FP2,509,0,37,68,223
2022,R,1230,0,0,1,1059
2022,FP2,677,0,14,12,490
2022,R,1259,0,0,1,908
2022,S,469,0,0,0,425
2022,FP2,554,0,3,8,17
2022,R,992,0,2,0,768
2023,FP2,318,0,34,36,100
2023,R,1157,0,0,0,1063
2023,FP2,307,0,13,22,143
2023,R,1003,0,0,19,737
2023,R,1354,0,1,1,1166
2023,S,480,0,0,12,426
2023,R,962,0,3,10,791
2023,S,308,0,0,10,202
2023,FP2,522,0,35,69,230
2023,R,1056,0,2,0,887
2023,R,816,0,7,3,656
2023,S,209,0,1,0,69
2023,FP2,512,0,36,78,206
2023,R,971,0,0,1,801
2023,FP2,680,0,41,87,314
2023,R,1317,0,1,1,1037
2023,FP2,550,0,13,102,254
2023,R,1343,0,9,31,954
2023,FP2,531,0,26,96,228
2023,R,1252,0,0,0,1140
2023,FP2,397,0,80,22,62
2023,R,958,0,0,2,876
2023,FP2,438,0,43,20,140
2023,R,880,0,1,0,685
2023,FP2,754,0,22,82,360
2023,R,946,0,0,3,641
2023,FP2,583,0,25,61,233
2023,R,1282,0,4,13,1050
2023,FP2,480,0,52,48,134
2023,R,1138,0,2,0,1076
2023,FP2,570,0,16,88,286
2023,R,1515,0,6,32,1221
2023,R,1006,0,0,0,806
2023,S,322,0,0,1,146
2023,FP2,552,0,12,95,246
2023,R,943,0,2,2,820
2023,FP2,475,0,27,66,198
2023,R,1088,0,0,12,826
2023,FP2,618,0,36,81,230
2023,R,1312,0,0,0,1207
2023,R,1109,0,0,14,972
2023,S,480,0,0,0,460
2023,R,1014,0,0,3,909
2023,S,377,0,0,0,356
2024,FP2,507,0,44,69,182
2024,R,1035,0,3,0,880
2024,FP2,532,0,24,66,275
2024,R,998,0,2,1,849
2024,R,1405,0,1,2,1247
2024,S,460,0,0,1,439
2024,FP2,470,0,50,29,125
2024,R,973,0,0,0,853
2024,FP2,511,0,37,93,220
2024,R,1129,0,0,0,1006
2024,FP2,462,0,56,27,178
2024,R,841,0,3,0,731
2024,FP2,477,0,39,64,196
2024,R,961,0,3,4,843
2024,FP2,437,0,18,12,241
2024,R,1272,0,1,24,889
