variant,split,mae,mse,rmse,event_mae_median,event_mae_iqr,degradation_slope_error,event_count,feature_count,row_count
no_air_temperature,ablation_development,2.2500894040070576,13.915877333516429,3.0373329030304888,1.6110157962847398,1.1198666594123214,0.1190146410968522,61,27,70323
no_circuit,development,2.008537662834075,11.7388582990721,2.813251601589473,1.4635810677210344,1.0983525378574477,0.1190293421592833,61,24,70323
no_circuit,frozen_2025,2.0322291879591385,9.44614316758293,2.6837509542728744,1.7573842694504025,1.2584555298174926,0.0861960150000178,24,24,26830
no_compound,ablation_development,2.3405271168489072,15.144716883545511,3.178365176017739,1.5830999177761351,1.353249350573119,0.1271718433265956,61,24,70323
no_constructor,ablation_development,2.14176124597008,12.8405558524739,2.9502275537693463,1.5681154944199096,1.3760851356337491,0.1234463825517449,61,27,70323
no_driver,ablation_development,2.181498869566345,13.222769054807292,2.981199723472433,1.5820218744398842,1.3129400387953118,0.1191374929064231,61,27,70323
no_fuel_race_progress,ablation_development,2.204146465395861,12.551559475661795,3.0531837489454428,1.7289045540615269,1.288135620012106,0.1150588082116669,61,22,70323
no_tire_age,ablation_development,2.189310347187825,13.185428294477484,3.00152623466915,1.639831550072963,1.3653757732863587,0.1331506095961424,61,21,70323
no_track_temperature,ablation_development,2.1378248147195418,13.066351273007577,2.9344754663752357,1.563872638657987,1.2156897036478476,0.1222874258043852,61,27,70323
pca4_no_age_interactions,development,2.12472591828123,12.547406795849827,2.914878956501945,1.540623069522282,1.0963033504269557,0.1225583934364636,61,28,70323
pca4_no_age_interactions,frozen_2025,2.0337223212978834,10.109908638999304,2.680429291646498,1.5310584207395277,1.6142870162807874,0.0877354598671742,24,28,26830
pca4_pruned,conditional_development,2.138943217220624,12.898662370740055,2.94653733898078,1.5143767858589854,1.3083116913067183,0.1224709938058122,61,26,70323
pca4_pruned,conditional_frozen_2025,1.9663771775382584,9.430186956006162,2.616403728045032,1.4893833001939505,1.456055001093422,0.0848089531095921,24,26,26830
raw_circuit_7,development,2.302939995051913,14.687748003585822,3.0589885272480344,1.5090989935405774,1.5298167922747032,0.113253249966997,61,31,70323
raw_circuit_7,frozen_2025,2.067261055865567,9.872844552803302,2.7138742631522947,1.731669825965512,1.6313403761595278,0.0870543759108534,24,31,26830
raw_circuit_age_interactions,development,2.3325265484753275,14.740360280532586,3.0910795737963013,1.9250556738610451,1.2826012567499332,0.1114142026846462,61,37,70323
raw_circuit_age_interactions,frozen_2025,2.0710116621513284,9.555224406259846,2.703112683179351,1.7901903849039846,1.6495212040701972,0.088359142951856,24,37,26830
