comparison,baseline,candidate,event_count,mean_difference,median_difference,proportion_events_improved,bootstrap_95ci_lower,bootstrap_95ci_upper
no_circuit_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_circuit,61,-0.1161882554471544,0.0024122807349526,0.4918032786885246,-0.357310653366394,0.0897848282932308
raw_circuit_7_minus_pca4_no_age_interactions,pca4_no_age_interactions,raw_circuit_7,61,0.1782140767706837,-0.0075257313442747,0.5081967213114754,-0.086222705985195,0.486859346248207
raw_circuit_age_interactions_minus_pca4_no_age_interactions,pca4_no_age_interactions,raw_circuit_age_interactions,61,0.2078006301940977,-0.0053323581023287,0.5245901639344263,-0.1174744365646096,0.6228724060773972
no_driver_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_driver,61,0.0567729512851152,0.0265468655384808,0.4098360655737705,-0.0304276298402087,0.1502736394682941
no_constructor_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_constructor,61,0.0170353276888499,0.011767035451623,0.4918032786885246,-0.0818542017036914,0.1102519021429555
no_air_temperature_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_air_temperature,61,0.1253634857258277,0.02618298738544,0.360655737704918,-0.0802260580827928,0.3434532306214196
no_track_temperature_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_track_temperature,61,0.0130988964383118,0.0075241796897007,0.4754098360655737,-0.1030110584610092,0.1253476796181737
no_fuel_race_progress_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_fuel_race_progress,61,0.079420547114631,0.1625611844912968,0.3442622950819672,-0.1124415895869286,0.2515263452708037
no_tire_age_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_tire_age,61,0.0645844289065958,0.0018762569996084,0.4918032786885246,-0.0250918279620771,0.1757147443350898
no_compound_minus_pca4_no_age_interactions,pca4_no_age_interactions,no_compound,61,0.2158011985676777,0.0598619840591156,0.3278688524590163,0.0868105024006081,0.3777117946817691
pca4_pruned_minus_pca4_no_age_interactions,pca4_no_age_interactions,pca4_pruned,61,0.014217298939394,-0.0085615900539239,0.5573770491803278,-0.0956535167359632,0.1215400194924041
