variant,fold,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_raw,2024-11-03::São Paulo Grand Prix,development,37,0.26802054586879576,10.946843470203829,124.36388793879517,11.151855806940617,6.042992015951313
hgb_track_pca1,2024-11-03::São Paulo Grand Prix,development,25,0.042682839426524066,9.730498946090679,96.04569728277751,9.800290673381964,5.069467575987801
hgb_track_pca2,2024-11-03::São Paulo Grand Prix,development,26,0.060676354782296396,6.095558621659371,37.941427931383146,6.159661348757994,9.573101715999655
hgb_track_pca3,2024-11-03::São Paulo Grand Prix,development,27,0.04917974845571921,9.685799346336076,94.82707685197855,9.737919534067764,11.673128289054148
hgb_track_pca4,2024-11-03::São Paulo Grand Prix,development,28,0.07666753833742068,4.6613025565461355,22.34426702854839,4.726972289801199,4.581740426947363
hgb_track_pca5,2024-11-03::São Paulo Grand Prix,development,29,0.1968272871232679,13.408839746569999,187.78443705214502,13.70344617430758,5.81284830707591
hgb_track_pca6,2024-11-03::São Paulo Grand Prix,development,30,0.21835484933933613,12.747212522005626,170.56661023946452,13.060115246025378,5.388141270028427
hgb_track_pca7,2024-11-03::São Paulo Grand Prix,development,31,0.19145783864883958,12.350609703238327,160.74788133111807,12.678638780686121,5.324003185960464
hgb_raw,2024-11-23::Las Vegas Grand Prix,development,37,0.16521625089086886,4.220859784262782,45.93159220698594,6.777285017393465,6.505738651030697
hgb_track_pca1,2024-11-23::Las Vegas Grand Prix,development,25,0.1158260272727191,4.0535607647166705,48.40786316199312,6.957575954453758,7.94501525897067
hgb_track_pca2,2024-11-23::Las Vegas Grand Prix,development,26,0.11441115334850656,3.9703213572233547,48.848307665912785,6.989156434500003,6.621123290038668
hgb_track_pca3,2024-11-23::Las Vegas Grand Prix,development,27,0.10654526034155115,3.9459480361478643,48.746516392191324,6.98187055109097,10.404848705977201
hgb_track_pca4,2024-11-23::Las Vegas Grand Prix,development,28,0.07923656077286098,3.8891137704923615,48.87623186508217,6.99115382931045,4.69275912293233
hgb_track_pca5,2024-11-23::Las Vegas Grand Prix,development,29,0.10492884828108251,3.9149211359961646,47.684233323280466,6.905377131140664,6.605692110955715
hgb_track_pca6,2024-11-23::Las Vegas Grand Prix,development,30,0.12809112523267047,3.9257822909788764,47.27784213528738,6.8758884615217095,5.220925177098252
hgb_track_pca7,2024-11-23::Las Vegas Grand Prix,development,31,0.1125917054945135,3.938222355707491,48.5194786240635,6.9655924819116075,7.173210467910394
hgb_raw,2024-12-01::Qatar Grand Prix,development,37,0.0890620413288368,3.8914832760245703,15.62670540651263,3.9530627880812403,7.641422572080046
hgb_track_pca1,2024-12-01::Qatar Grand Prix,development,25,0.14806748769835806,3.033741420957796,9.846058075752707,3.1378429017005787,16.49356945208274
hgb_track_pca2,2024-12-01::Qatar Grand Prix,development,26,0.14413942954875325,3.559277262329012,13.276726490408759,3.643724261028647,4.672891831025481
hgb_track_pca3,2024-12-01::Qatar Grand Prix,development,27,0.10665736103737153,3.034569140708931,9.727783799427,3.118939531223233,4.40600419708062
hgb_track_pca4,2024-12-01::Qatar Grand Prix,development,28,0.12826112547660584,3.3495206742076875,11.829415361651598,3.4393917139011077,49.0992556019919
hgb_track_pca5,2024-12-01::Qatar Grand Prix,development,29,0.1477274729329593,2.9748091954472247,9.584278841941376,3.0958486464847366,7.488279999000952
hgb_track_pca6,2024-12-01::Qatar Grand Prix,development,30,0.09782016659005074,2.7574930370357924,8.118610955680838,2.849317629833648,8.547026585089043
hgb_track_pca7,2024-12-01::Qatar Grand Prix,development,31,0.11853941605100726,2.874255138988515,8.83211203129675,2.971886947933375,5.458700136980042
hgb_raw,2024-12-08::Abu Dhabi Grand Prix,development,37,0.13638459045501466,1.2378589808105298,2.4075114433713005,1.5516157524887728,7.169253617059439
hgb_track_pca1,2024-12-08::Abu Dhabi Grand Prix,development,25,0.1217447238282912,1.4932808366606964,3.221942450476863,1.794977005556579,3.745276995934546
hgb_track_pca2,2024-12-08::Abu Dhabi Grand Prix,development,26,0.11338952920724166,1.0923280357176337,1.7894552199514446,1.337705206669782,4.9315572490449995
hgb_track_pca3,2024-12-08::Abu Dhabi Grand Prix,development,27,0.12297692677353356,1.1320721002850125,1.9456596806169308,1.3948690550072902,4.120565062039532
hgb_track_pca4,2024-12-08::Abu Dhabi Grand Prix,development,28,0.09899197669430089,1.0001244826130677,1.637993559808619,1.2798412244527126,4.397214303957298
hgb_track_pca5,2024-12-08::Abu Dhabi Grand Prix,development,29,0.111840983117024,1.2706719896093603,2.4203676916086407,1.5557530946807212,4.534978738985956
hgb_track_pca6,2024-12-08::Abu Dhabi Grand Prix,development,30,0.08512481014622812,1.073931316825111,1.9400872028231806,1.3928701313558205,3.8665138160577044
hgb_track_pca7,2024-12-08::Abu Dhabi Grand Prix,development,31,0.09356426628755092,1.130648622896376,2.0369457879396387,1.427216097141438,8.565396858029999
hgb_raw,2025-final,final_2025,37,0.14621139442026443,2.6165858463790954,21.808422174655977,4.6699488406893686,0.0
hgb_track_pca1,2025-final,final_2025,25,0.22720005509725202,2.7472194574379207,22.58174756935963,4.752025628020079,0.0
hgb_track_pca2,2025-final,final_2025,26,0.21563697021393374,2.809115037749432,23.594838554960578,4.857451858223669,0.0
hgb_track_pca3,2025-final,final_2025,27,0.22296905283796128,2.7637636742445513,23.501371159134948,4.847821279619841,0.0
hgb_track_pca4,2025-final,final_2025,28,0.22275123047089807,2.720923023071532,22.529607606630705,4.746536379996545,0.0
hgb_track_pca5,2025-final,final_2025,29,0.2815502024723654,2.6480503614534774,23.230332658017108,4.819785540666421,0.0
hgb_track_pca6,2025-final,final_2025,30,0.27104688950087097,2.730408954956743,23.648283024113596,4.862950033067746,0.0
hgb_track_pca7,2025-final,final_2025,31,0.23642768576988343,2.665750841289538,22.56167883419699,4.7499135607079195,0.0
