variant,split,mae,mse,rmse,event_mae_median,event_mae_iqr,degradation_slope_error,events,feature_count
hgb_raw,development,5.074261377825428,47.08242424891626,5.858454841226024,4.056171530143676,2.674278503526983,0.16467085713587903,4,37
hgb_raw,final_2025,2.6165858463790954,21.808422174655977,4.6699488406893686,2.6165858463790954,0.0,0.14621139442026443,1,37
hgb_track_pca1,development,4.577770492106461,39.38039024275005,5.42267163377322,3.5436510928372336,2.8241690351766513,0.10708026955647311,4,25
hgb_track_pca1,final_2025,2.7472194574379207,22.58174756935963,4.752025628020079,2.7472194574379207,0.0,0.22720005509725202,1,25
hgb_track_pca2,development,3.679371319232343,25.463979326914032,4.5325618127391065,3.7647993097761834,1.5590907176561908,0.10815411672169947,4,26
hgb_track_pca2,final_2025,2.809115037749432,23.594838554960578,4.857451858223669,2.809115037749432,0.0,0.21563697021393374,1,26
hgb_track_pca3,development,4.449597155869471,38.81175918105345,5.308399667847314,3.4902585884283974,2.8219659830919652,0.09633982415204387,4,27
hgb_track_pca3,final_2025,2.7637636742445513,23.501371159134948,4.847821279619841,2.7637636742445513,0.0,0.22296905283796128,1,27
hgb_track_pca4,development,3.225015370964813,21.171976953772692,4.109339764366368,3.6193172223500243,1.3199893406967727,0.0957893003202971,4,28
hgb_track_pca4,final_2025,2.720923023071532,22.529607606630705,4.746536379996545,2.720923023071532,0.0,0.22275123047089807,1,28
hgb_track_pca5,development,5.392310516905687,61.868329227243876,6.315106261653425,3.4448651657216947,3.739625894651865,0.14033114786358342,4,29
hgb_track_pca5,final_2025,2.6480503614534774,23.230332658017108,4.819785540666421,2.6480503614534774,0.0,0.2815502024723654,1,29
hgb_track_pca6,development,5.126104791711351,56.97578763331398,6.044547867184139,3.3416376640073344,3.7945372417524417,0.13234773782707138,4,30
hgb_track_pca6,final_2025,2.730408954956743,23.648283024113596,4.862950033067746,2.730408954956743,0.0,0.27104688950087097,1,30
hgb_track_pca7,development,5.073433955207677,55.03410444360449,6.010833576918135,3.406238747348003,3.602965682624719,0.12903830662047783,4,31
hgb_track_pca7,final_2025,2.665750841289538,22.56167883419699,4.7499135607079195,2.665750841289538,0.0,0.23642768576988343,1,31
