feature,mean_increase_mae,std_across_folds,events
TyreLifeKM,0.029366627554389995,0.02414810151769105,4
TireAgeRatio,0.012096803618362146,0.004543471248803933,4
LapsRemaining,0.006153855119485185,0.002159895756334773,4
LapNumber,0.005067888934199627,0.007147187301876774,4
medium_age_interaction,0.004630343070237482,0.00551459141286999,4
AirTemp,0.004627928874458417,0.010612323309128988,4
tire_age_x_traction,0.004121620690112904,0.004105676214208435,4
TyreLife,0.002872227935527475,0.003410922529538752,4
soft_age_interaction,0.0022048928469331854,0.004431494794495583,4
WindSpeed,0.0019832898548563884,0.003712699670260482,4
tire_age_x_abrasiveness,0.0015560059885072666,0.016057149439898333,4
FuelLoadMissing,0.00019659969473140304,0.00035498578121918254,4
Compound,0.0,0.0,4
tyre_stress,0.0,0.0,4
traction,0.0,0.0,4
SessionCode,0.0,0.0,4
corner_speed_energy,0.0,0.0,4
TrackType,0.0,0.0,4
TyreLifeSquared,0.0,0.0,4
IsWet,0.0,0.0,4
Rainfall,0.0,0.0,4
braking_severity,0.0,0.0,4
abrasiveness,0.0,0.0,4
lateral_load,0.0,0.0,4
asphalt_grip,0.0,0.0,4
soft_abrasiveness_interaction,-0.0004889744555498139,0.005214348556973351,4
track_temp_x_tyre_stress,-0.0021068444783945983,0.005248083841107178,4
hard_age_interaction,-0.002172983889946874,0.005256272790728982,4
soft_traction_interaction,-0.0026241927905925793,0.005087863810554118,4
NormalizedLap,-0.0027074682717243012,0.028182424571244775,4
TrackTemp,-0.003770346659907405,0.007365824989856775,4
tire_age_x_lateral_load,-0.005917764538073282,0.019461173204834578,4
Humidity,-0.011898560376486417,0.019670484548721227,4
Driver,-0.013616240806627211,0.00680118131254042,4
Team,-0.02484506148738478,0.014258293769740268,4
Stint,-0.039190492072584515,0.08855636942975777,4
FuelLoad,-0.07017453416670001,0.21084717569029654,4
