,TyreLife,TyreLifeKM,TyreLifeSquared,TireAgeRatio,LapNumber,NormalizedLap,LapsRemaining,FuelLoad,Stint,AirTemp,TrackTemp,Humidity,Rainfall,WindSpeed,IsWet,FuelLoadMissing,traction,tyre_stress,asphalt_grip,corner_speed_energy,abrasiveness,braking_severity,lateral_load,tire_age_x_abrasiveness,track_temp_x_tyre_stress,tire_age_x_traction,tire_age_x_lateral_load,soft_abrasiveness_interaction,soft_traction_interaction,soft_age_interaction,medium_age_interaction,hard_age_interaction
TyreLife,1.0,0.9692126354145435,1.0,0.9751494450786153,0.5303823945710615,0.509907797442505,-0.41768731483722227,-0.28283269760500596,0.04344025995639964,0.007183990801165662,0.009308822159210648,0.016299071872192435,-0.040731741489267365,-0.006682424131588329,-0.014138838696661788,-0.1602351424394432,-0.0010365246853782544,-0.1361068514356962,-0.07313997918943488,-0.09454370280502869,-0.12143897904498539,-0.05352654558853808,-0.10356851201436135,0.5391457071215694,-0.11251870190388844,0.8349913149051512,0.5464497447716512,-0.11425125997678563,-0.12950829582542525,-0.09218437834501018,0.09351371248513109,0.35880744853862173
TyreLifeKM,0.9692126354145435,1.0,0.9692126354145435,0.9986275487850397,0.5021888678509822,0.5277074798737765,-0.49577414218659815,-0.28738622085225934,0.03743078629693627,0.018448754725967662,-0.023100063655075515,0.0035619459723682492,-0.06270318977503425,0.012879120349621631,-0.04829281894033858,-0.1658044593236118,-0.021559471157107667,-0.034842657608482916,0.005757078164058713,0.015262318339794367,-0.09119533412449705,-0.0043445931174612255,-0.019773420748214747,0.5605169840979412,-0.043519345561488225,0.7996490827017234,0.5990291900948904,-0.12520163288536465,-0.14642537458069307,-0.11230420836468163,0.08900815530220237,0.3786597596047016
TyreLifeSquared,1.0,0.9692126354145435,1.0,0.9751494450786153,0.5303823945710615,0.509907797442505,-0.41768731483722227,-0.28283269760500596,0.04344025995639964,0.007183990801165662,0.009308822159210648,0.016299071872192435,-0.040731741489267365,-0.006682424131588329,-0.014138838696661788,-0.1602351424394432,-0.0010365246853782544,-0.1361068514356962,-0.07313997918943488,-0.09454370280502869,-0.12143897904498539,-0.05352654558853808,-0.10356851201436135,0.5391457071215694,-0.11251870190388844,0.8349913149051512,0.5464497447716512,-0.11425125997678563,-0.12950829582542525,-0.09218437834501018,0.09351371248513109,0.35880744853862173
TireAgeRatio,0.9751494450786153,0.9986275487850397,0.9751494450786153,1.0,0.5054485402515131,0.526805358723668,-0.4887869617717029,-0.28786408162603067,0.038796646364452354,0.016756868405174725,-0.020103454106326853,0.00614051107291078,-0.05924703059511267,0.004084968638953638,-0.043623774127110146,-0.16395935208139595,-0.003623363797910739,-0.056320442228692015,-0.009809664973955941,-0.00024744838637247367,-0.10959642517084783,-0.019752398995562463,-0.038638614271751894,0.5428631948081771,-0.061997154955595046,0.8127689764482641,0.5808479106881294,-0.1296002984797839,-0.14833447239893227,-0.11450914495513592,0.08951262214027476,0.37980172937498413
LapNumber,0.5303823945710615,0.5021888678509822,0.5303823945710615,0.5054485402515131,1.0,0.9768497519135931,-0.87824394087647,-0.4955813782184117,0.5943248569183017,-0.025586642909810883,-0.053124693387099686,0.05052260585502897,-0.046921139478635576,-0.0008300203473116658,-0.06147986858419134,-0.2639360954255335,0.030312923233886308,-0.05166641187162295,-0.0691617824984287,-0.11031908676037619,0.007970769498912249,-0.018325164843365487,-0.04506798720460385,0.32146433131254504,-0.07213583456434314,0.4577769550724965,0.2862974596298474,-0.04958614543962469,-0.060690778315650194,-0.04520037497242832,-0.15168998763595343,0.3967966566413501
NormalizedLap,0.509907797442505,0.5277074798737765,0.509907797442505,0.526805358723668,0.9768497519135931,1.0,-0.9490114677848933,-0.5109307003858108,0.5925812568233672,-0.015007705232678333,-0.08085155559164933,0.041309093920873265,-0.057224160488253115,0.007724860695776794,-0.08009576108935276,-0.26689501161659157,0.020211804485135963,0.028022400736491995,-0.004354987002875009,-0.01166110682929784,0.021107700682087793,0.01631259796157942,0.020144069074872657,0.33196124465550764,-0.019706687293160514,0.43574017500808077,0.3250511238235077,-0.056150836894780495,-0.07113270650147105,-0.05807889272392619,-0.16430074652547016,0.4179721203089422
LapsRemaining,-0.41768731483722227,-0.49577414218659815,-0.41768731483722227,-0.4887869617717029,-0.87824394087647,-0.9490114677848933,1.0,0.47524392530815485,-0.5363989255478607,0.0005803978672114353,0.12120104739969433,-0.034917612409718704,0.07561008357642439,-0.0326929972710624,0.10489466629888727,0.2690331923421391,-0.007074052913839902,-0.1314321266475431,-0.08401878851283055,-0.10963181126085272,-0.038710434269109244,-0.06108822529318757,-0.10559035650984519,-0.3036870713574063,-0.04855991702490576,-0.352824838539539,-0.3317770983026353,0.06757574193695141,0.09164985810289093,0.08386474905408071,0.1574136247937869,-0.40260797579009433
FuelLoad,-0.28283269760500596,-0.28738622085225934,-0.28283269760500596,-0.28786408162603067,-0.4955813782184117,-0.5109307003858108,0.47524392530815485,1.0,-0.5944610741348625,0.02978975644849873,0.12014627969185601,0.0028266909990520713,0.023923578655026867,0.05774674687623168,0.059193767249466143,-0.6115723272028918,0.012194448415264089,-0.0015546469902383085,0.040238171417555715,-0.005163100377533217,0.0265045489010157,0.019968896906108043,0.012663923301819842,-0.18138591320424866,0.07061856332211333,-0.23033220307540794,-0.18606766923045387,-0.09948326286257239,-0.1341086359076693,-0.13936021545103824,0.024502146276131866,-0.0724584148954349
Stint,0.04344025995639964,0.03743078629693627,0.04344025995639964,0.038796646364452354,0.5943248569183017,0.5925812568233672,-0.5363989255478607,-0.5944610741348625,1.0,-0.08980437833800138,-0.09133454560943977,0.03501128693149647,-0.012847147902310032,-0.0455069254601828,-0.06622136798520069,0.2657491013504147,-0.012985852543614654,0.09969905786687458,0.024575796388234025,0.029705721242472134,0.12177335133105587,-0.058402447477574025,0.08924182784493273,0.10739629883124634,0.03860404712725844,0.03870165081045687,0.09107966601362243,0.11415369448183574,0.12186809364943457,0.12106352078839401,-0.1588119118928827,0.11156084709814389
AirTemp,0.007183990801165662,0.018448754725967662,0.007183990801165662,0.016756868405174725,-0.025586642909810883,-0.015007705232678333,0.0005803978672114353,0.02978975644849873,-0.08980437833800138,1.0,0.686926225428238,-0.36919940155150827,-0.18831771885726886,-0.0015335057454775622,-0.24891477463094405,-0.02485909738134332,0.2056912751294604,-0.19281129754482895,0.235660175679634,-0.1565373422577688,0.12212113944626435,0.1314121843307109,-0.05067461701536406,0.10511568455634769,0.22874267573028623,0.11362014473199682,0.009900180677807839,-0.11116515257685643,-0.10394292497255979,-0.108928958663748,0.06859503854116765,0.09976559173384578
TrackTemp,0.009308822159210648,-0.023100063655075515,0.009308822159210648,-0.020103454106326853,-0.053124693387099686,-0.08085155559164933,0.12120104739969433,0.12014627969185601,-0.09133454560943977,0.686926225428238,1.0,-0.48263353082361093,-0.2187677157074665,0.050077778283989335,-0.314570114813362,-0.06069309359820764,0.16282402686347905,-0.1540408078229111,-0.025764179564904763,-0.23021370597577287,-0.08061335547570728,-0.06917232243071005,-0.11571053831251336,-0.07473480442634195,0.40557217773839316,0.09275827547124096,-0.08330774851866166,-0.07040672361073214,-0.05926085934114093,-0.051946675660686684,0.08392353289969291,0.08464574618234398
Humidity,0.016299071872192435,0.0035619459723682492,0.016299071872192435,0.00614051107291078,0.05052260585502897,0.041309093920873265,-0.034917612409718704,0.0028266909990520713,0.03501128693149647,-0.36919940155150827,-0.48263353082361093,1.0,0.23157402140921723,-0.02060174140398358,0.33893793592798577,-0.048857379480478406,0.007042064772022248,0.07955425383020583,0.1757920361092989,0.06728648484311579,-0.06441565540150562,0.019672992538585326,0.11260010278110923,-0.04132813265371639,-0.15405120688592183,0.03260913216673455,0.07018397911986189,0.0137286057383399,0.011096956082060423,0.01836022157199629,-0.030500219476606118,-0.11542250750573305
